페이지 ID,번호,구분,기능명,동작 설명,예외 및 제약 사항
SEC01_PG01,[1],이미지,앱 로고,"  • 서비스 브랜드 로고 표시
  • 앱 실행 시 가장 먼저 노출되는 요소
  • 사용자가 서비스임을 인지하도록 ","  • 이미지 로딩 실패 시 기본 Placeholder 이미지 표시"
SEC01_PG01,[2],텍스트,서비스 소개,"  • 일정 관리 앱의 주요 기능 소개 ","  • 최대 2줄 표시 
• 화면 크기에 따라 자동 줄바꿈"
SEC01_PG01,[3],버튼,시작하기,"  • 버튼 클릭 시 SEC01_PG02(로그인) 화면 이동
  • 최초 사용자 진입 플로우 시작","  • 화면 전환 실패 시 ""페이지를 불러올 수 없습니다"" 안내"
SEC01_PG02,[1],입력창,로그인 정보 입력,"  • 이메일 및 비밀번호 입력
  • 입력값을 로그인 정보로 사용","  • 이메일 형식 필수 
  • 비밀번호 최소 8자"
SEC01_PG02,[2],버튼,로그인 및 회원가입,"  • 로그인 버튼 클릭시 사용자 인증 수행
  • 회원가입 버튼 클릭 시 SEC01_PG03 이동","  • 입력값 누락 시 로그인 불가"
SEC01_PG02,[3],버튼,소셜 로그인,"  •  Google OAuth 인증 실행
  • 인증 성공 시 홈 이동","  • 인터넷 연결 필요"
SEC01_PG03,[1],버튼,회원가입 안내,"  •  “회원가입” 제목 및 서비스 안내 문구 표시","  •  화면 크기에 따라 자동 줄바꿈 적용
"
SEC01_PG03,[2],입력창,회원정보 입력,"  •  이름, 이메일, 비밀번호, 비밀번호 확인 정보 입력
  •  입력 정보는 회원가입 요청 시 서버로 전달됨
  •  비밀번호 일치 여부를 실시간 검증","  •  이름 최대 20자
  • 이메일 형식 필수
  • 중복 이메일 사용 불가
  •  비밀번호 최소 8자 이상

"
SEC01_PG03,[3],버튼,회원가입,"  • 가입하기 버튼 클릭 시 입력값 검증 수행
  • 회원 정보 저장 후 홈 화면으로 이동
  • 자동 로그인 처리","  • 필수 입력값 누락 시 가입 불가
  • 비밀번호 불일치 시 오류 메세지 표시"
SEC02_PG01,[1],헤더,상단 상태 영역,"  • 현재 날짜 표시
  • 메뉴 버튼 클릭 시 메뉴 기능 실행
  • 알림 버튼 클릭 시 알림 목록 표시

","  • 알림 데이터가 없을 경우 ""새로운 알림이 없습니다"" 표시"
SEC02_PG01,[2],리스트,"오늘 일정 조회 ","  • 오늘 날짜에 등록된 일정 목록 표시
  • 일정 선택 시 SEC02_PG04 이동
  • 완료 여부 확인 가능","  • 일정이 없는 경우 ""등록된 일정이 없습니다"" 표시
  • 최대 20개 표시

"
SEC02_PG01,[3],카드,다가오는 일정 조회,"  • 미래 일정 중 가장 가까운 일정 표시
  • 카드 선택 시 상세 화면 이동

","  • 일정이 없으면 Placeholder 표시"
SEC02_PG01,[4],네비게이션,화면 이동,"  • 홈, 캘린더, 추가, 통계, 설정 화면 이동","  • 현재 화면 선택 시 이동하지 않음"
SEC02_PG02,[1],입력창,일정 정보 입력,"  • 일정 제목 입력
  • 일정 생성 시 기본 정보 저장

","  • 제목 필수 입력
  • 최대 50자"
SEC02_PG02,[2],설정,일정 옵션 설정,"  • 종일 여부 설정
  • 시작일, 종료일 설정- 반복 설정- 알림 설정","  • 종료일은 시작일 이전 선택 불가
  • 알림은 일정 종료 이후 설정 불가"
SEC02_PG02,[3],입력창,"일정 메모 작성 ","  • 일정 상세 내용 입력
  • 저장 시 일정 정보와 함께 저장","  • 최대 500자"
SEC02_PG02,[4],버튼,"저장 및 종료 ","  • 저장 버튼 클릭 시 일정 생성
  • 생성 완료 후 홈 화면 이동
  • 취소 버튼 클릭 시 이전 화면 이동

","  • 제목 미 입력 시 저장 불가"
