기능명,구분,동작 설명,번호,예외 및 제약 사항,페이지 ID
앱 로고,이미지,"  • 서비스 브랜드 로고 표시
  • 앱 실행 시 가장 먼저 노출되는 요소
  • 사용자가 서비스임을 인지하도록 ",[1],"  • 이미지 로딩 실패 시 기본 Placeholder 이미지 표시",SEC01_PG01
서비스 소개,텍스트,"  • 일정 관리 앱의 주요 기능 소개 ",[2],"  • 최대 2줄 표시 
• 화면 크기에 따라 자동 줄바꿈",SEC01_PG01
시작하기,버튼,"  • 버튼 클릭 시 SEC01_PG02(로그인) 화면 이동
  • 최초 사용자 진입 플로우 시작",[3],"  • 화면 전환 실패 시 ""페이지를 불러올 수 없습니다"" 안내",SEC01_PG01
로그인 정보 입력,입력창,"  • 이메일 및 비밀번호 입력
  • 입력값을 로그인 정보로 사용",[1],"  • 이메일 형식 필수 
  • 비밀번호 최소 8자",SEC01_PG02
로그인 및 회원가입,버튼,"  • 로그인 버튼 클릭시 사용자 인증 수행
  • 회원가입 버튼 클릭 시 SEC01_PG03 이동",[2],"  • 입력값 누락 시 로그인 불가",SEC01_PG02
소셜 로그인,버튼,"  •  Google OAuth 인증 실행
  • 인증 성공 시 홈 이동",[3],"  • 인터넷 연결 필요",SEC01_PG02
회원가입 안내,버튼,"  •  “회원가입” 제목 및 서비스 안내 문구 표시",[1],"  •  화면 크기에 따라 자동 줄바꿈 적용
",SEC01_PG03
회원정보 입력,입력창,"  •  이름, 이메일, 비밀번호, 비밀번호 확인 정보 입력
  •  입력 정보는 회원가입 요청 시 서버로 전달됨
  •  비밀번호 일치 여부를 실시간 검증",[2],"  •  이름 최대 20자
  • 이메일 형식 필수
  • 중복 이메일 사용 불가
  •  비밀번호 최소 8자 이상

",SEC01_PG03
회원가입,버튼,"  • 가입하기 버튼 클릭 시 입력값 검증 수행
  • 회원 정보 저장 후 홈 화면으로 이동
  • 자동 로그인 처리",[3],"  • 필수 입력값 누락 시 가입 불가
  • 비밀번호 불일치 시 오류 메세지 표시",SEC01_PG03
상단 상태 영역,헤더,"  • 현재 날짜 표시
  • 메뉴 버튼 클릭 시 메뉴 기능 실행
  • 알림 버튼 클릭 시 알림 목록 표시

",[1],"  • 알림 데이터가 없을 경우 ""새로운 알림이 없습니다"" 표시",SEC02_PG01
"오늘 일정 조회 ",리스트,"  • 오늘 날짜에 등록된 일정 목록 표시
  • 일정 선택 시 SEC02_PG04 이동
  • 완료 여부 확인 가능",[2],"  • 일정이 없는 경우 ""등록된 일정이 없습니다"" 표시
  • 최대 20개 표시

",SEC02_PG01
다가오는 일정 조회,카드,"  • 미래 일정 중 가장 가까운 일정 표시
  • 카드 선택 시 상세 화면 이동

",[3],"  • 일정이 없으면 Placeholder 표시",SEC02_PG01
화면 이동,네비게이션,"  • 홈, 캘린더, 추가, 통계, 설정 화면 이동",[4],"  • 현재 화면 선택 시 이동하지 않음",SEC02_PG01
일정 정보 입력,입력창,"  • 일정 제목 입력
  • 일정 생성 시 기본 정보 저장

",[1],"  • 제목 필수 입력
  • 최대 50자",SEC02_PG02
일정 옵션 설정,설정,"  • 종일 여부 설정
  • 시작일, 종료일 설정- 반복 설정- 알림 설정",[2],"  • 종료일은 시작일 이전 선택 불가
  • 알림은 일정 종료 이후 설정 불가",SEC02_PG02
"일정 메모 작성 ",입력창,"  • 일정 상세 내용 입력
  • 저장 시 일정 정보와 함께 저장",[3],"  • 최대 500자",SEC02_PG02
"저장 및 종료 ",버튼,"  • 저장 버튼 클릭 시 일정 생성
  • 생성 완료 후 홈 화면 이동
  • 취소 버튼 클릭 시 이전 화면 이동

",[4],"  • 제목 미 입력 시 저장 불가",SEC02_PG02
카테고리 선택,선택,"  • 업무, 개인, 건강, 학습, 가족, 기타 선택
  • 선택 시 체크 상태 표시",[1],"  • 중복 선택 가능",SEC02_PG03
선택 카테고리 표시,상태,"  • 현재 선택된 카테고리 상태 표시",[2],"  • 선택하지 않은 경우 기본 상태 유지",SEC02_PG03
선택 완료,버튼,"  • 확인 버튼 클릭 시 선택 정보 저장
  • 일정 추가 화면으로 복귀",[3],"  • 카테고리 미선택 시 경고 메시지 표시",SEC02_PG03
일정 상세 조회,정보,"  • 제목, 이미지, 날짜 정보 표시
  • 선택된 일정 데이터 조회

",[1],"  • 삭제된 일정 조회 불가",SEC02_PG04
일정 옵션 조회,정보,"  • 시간, 알림, 반복 설정, 메모 표시",[2],"  • 설정값이 없으면 “설정 안함” 표시",SEC02_PG04
일정 수정 및 삭제,버튼,"  • 수정 버튼 클릭 시 일정 수정 화면 이동
  • 삭제 버튼 클릭 시 삭제 확인 팝업 출력",[3],"  • 삭제 후 복구 불가
  • 삭제 확인 필요",SEC02_PG04
월 선택,헤더,"  • 현재 선택된 연도 및 월 표시
  • 이전/다음 월 조회 가능
  • 월 선택 시 캘린더 데이터 갱신",[1],"  • 조회 가능한 기간은 최대 ±5년
  • 데이터 로딩 중에는 중복 클릭 제한

",SEC02_PG05
월간 일정 조회,캘린더,"  • 월별 캘린더 표시
  • 일정이 있는 날짜는 표시 마커 노출
  • 날짜 선택 시 해당 날짜 일정 조회

",[2],"  • 일정이 없는 날짜도 선택 가능
  • 미래 날짜 선택 가능

",SEC02_PG05
선택 날짜 일정 조회,리스트,"  • 선택한 날짜의 일정 목록 표시
  • 일정 클릭 시 SEC02_PG04 이동
  • 시간순 정렬 제공

",[3],"  • 일정이 없는 경우 ""등록된 일정이 없습니다"" 표시
  • 최대 20개 표시

",SEC02_PG05
